#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
358,-536.424181379,58.6312694546,-477.792911924,2350.57083327
359,-537.952599657,60.1733148384,-477.779284819,2412.39256997
360,-539.834894134,63.8736305712,-475.961263562,2560.7409567
361,-541.776825335,63.9180631376,-477.858762197,2562.52229105
362,-543.624416548,63.6073526703,-480.017063878,2550.06567927
363,-545.287104064,66.016002954,-479.27110111,2646.63024553
364,-547.782286447,68.1790167588,-479.603269688,2733.3470642
365,-552.860981013,71.3718093548,-481.489171658,2861.34847408
366,-559.542991748,74.915498974,-484.627492774,3003.4176044
367,-563.444064778,75.6317569494,-487.812307829,3032.13291487
368,-561.945041192,73.1388107386,-488.806230453,2932.18886272
369,-558.677554666,70.58262354,-488.094931126,2829.70943273
370,-555.942278749,68.2138503088,-487.72842844,2734.74356691
371,-553.641006491,64.30030265,-489.340703841,2577.84655501
372,-551.649259802,64.1745715995,-487.474688203,2572.80590447
373,-549.893514215,60.6977990013,-489.195715213,2433.41952687
374,-548.41831761,59.0368543652,-489.381463245,2366.83103146
375,-547.213869397,56.0200327152,-491.193836682,2245.88442659
376,-546.196643482,55.7846572767,-490.411986206,2236.44805167
377,-545.478204611,53.7528872021,-491.725317409,2154.99289094
378,-545.033317896,53.5425251946,-491.490792702,2146.55932291
379,-544.714078544,52.5693619834,-492.14471656,2107.54449207
380,-544.60946638,51.5889286732,-493.020537707,2068.23819758
381,-544.704290531,51.3437111849,-493.360579346,2058.40724763
382,-545.007047246,50.8387783159,-494.16826893,2038.16411652
383,-545.552832875,51.4704906737,-494.082342202,2063.48993084
384,-546.34004288,50.8985828701,-495.44146001,2040.5617252
385,-547.410909418,51.3005475219,-496.110361896,2056.67678455
386,-548.729425919,51.9395162419,-496.789909677,2082.29351177
387,-550.27368322,53.2296082501,-497.04407497,2134.01425183
388,-552.094034963,54.6226800828,-497.47135488,2189.863529
389,-554.148184951,57.5561597321,-496.592025219,2307.4688916
390,-556.60356666,60.2759810065,-496.327585653,2416.50853237
391,-558.206475721,62.2438135243,-495.962662196,2495.40038929
392,-556.209299106,59.6395113158,-496.56978779,2390.99199307
393,-551.267395706,54.4499462925,-496.817449413,2182.93850396
394,-546.249275409,49.8896782258,-496.359597184,2000.11399394
395,-542.659359768,47.8027286104,-494.856631157,1916.44664472
396,-540.381807536,44.2330068932,-496.148800643,1773.3338684
397,-538.894307782,42.5352048376,-496.359102944,1705.26773185
398,-537.797035405,41.6662221735,-496.130813231,1670.42957597
399,-536.848780189,40.2903881272,-496.558392062,1615.27137437
400,-535.961699267,40.5841244598,-495.377574807,1627.04748057
401,-535.191987785,39.0800263163,-496.111961469,1566.74707672
402,-534.556583204,38.8445510399,-495.712032164,1557.30669923
403,-533.99076627,37.9762704854,-496.014495785,1522.49669144
404,-533.462753473,38.0064588646,-495.456294608,1523.70696582
405,-533.001196861,35.9181101464,-497.083086715,1439.98352554
406,-532.564159953,35.9753734709,-496.588786482,1442.27925445
407,-532.292925624,36.1338530847,-496.159072539,1448.63281905
408,-532.437039252,37.5941979672,-494.842841285,1507.1791224
409,-533.320582852,38.7506575895,-494.569925263,1553.54244155
410,-535.231658826,40.6086378252,-494.623021001,1628.03023947
411,-538.102965893,42.627669273,-495.47529662,1708.97469926
412,-540.972397436,44.232342767,-496.740054669,1773.30724309
413,-541.720160314,43.9595462639,-497.76061405,1762.37063009
414,-539.582554659,40.3596990379,-499.222855621,1618.05009989
415,-535.84918944,37.7720068142,-498.077182626,1514.30761021
416,-532.388069844,34.6362529498,-497.751816894,1388.59292516
417,-529.316414089,31.5617083154,-497.754705773,1265.33216327
418,-526.557022928,29.1291019875,-497.427920941,1167.80718153
419,-524.122651764,27.7336020748,-496.389049689,1111.86056084
420,-521.947483731,26.1591288468,-495.788354884,1048.73876795
421,-520.083125506,24.1715868261,-495.91153868,969.056742516
422,-518.458183239,22.2434589592,-496.214724279,891.75667433
423,-517.066077226,21.7464222364,-495.319654989,871.830105546
424,-515.939073202,20.7875789875,-495.151494214,833.389372544
425,-515.04366983,19.9146642043,-495.129005626,798.39357511
426,-514.562981432,19.53840401,-495.024577422,783.309026423
427,-514.352095425,20.0128005137,-494.339294912,802.327932128
428,-514.331271689,19.0212680169,-495.310003672,762.576663072
429,-514.571900064,18.2139192414,-496.357980823,730.209455239
430,-515.081396617,18.9174358355,-496.163960782,758.413954343
431,-515.943618988,20.2745755566,-495.669043432,812.822686658
432,-517.110200264,20.0936235585,-497.016576706,805.568187602
433,-518.624362073,21.6868791504,-496.937482923,869.442979313
434,-520.392254049,22.5481933246,-497.844060724,903.973699782
435,-522.569229658,24.1625559044,-498.406673753,968.694686207
436,-525.230974178,27.8345544323,-497.396419745,1115.9078153
437,-528.219344827,29.9234683288,-498.295876498,1199.653914
438,-531.913733595,34.3948115713,-497.518922024,1378.91336223
439,-534.728528062,38.5483108772,-496.180217185,1545.43021262
440,-534.263374864,39.9183972009,-494.344977663,1600.35798379
441,-530.794992572,36.3078033281,-494.487189244,1455.6066126
442,-526.998388692,32.5687202766,-494.429668415,1305.70401547
443,-524.425002375,30.2520597322,-494.172942643,1212.8273857
444,-523.38982998,29.2720315032,-494.117798477,1173.53733122
445,-523.180233343,29.1794816723,-494.000751671,1169.82694024
446,-522.885844239,29.7006421629,-493.185202076,1190.72064867
447,-522.373853795,29.4659579154,-492.90789588,1181.31198411
448,-521.783939515,28.9560960934,-492.827843421,1160.87124764
449,-521.212970034,27.9734867572,-493.239483277,1121.47771467
450,-520.775575253,27.5430833394,-493.232491913,1104.22252423
451,-520.555684883,26.5123608217,-494.043324061,1062.90009833
452,-520.763796016,27.0958644305,-493.667931586,1086.29318834
453,-521.366436564,27.4321689134,-493.93426765,1099.77588309
454,-522.432893203,28.7727487238,-493.660144479,1153.52071637
455,-523.806689159,29.6994234267,-494.107265732,1190.67178864
456,-525.407110672,31.1230766324,-494.284034039,1247.74709561
457,-527.160551121,33.6924785087,-493.468072612,1350.75631177
458,-528.892818566,34.5544013477,-494.338417218,1385.31143406
459,-530.607727201,37.2608970222,-493.346830179,1493.8168417
460,-532.215769949,39.4373962218,-492.778373728,1581.0742998
